File,Valance,Arousal,Valence_0,Arousal_0
DV_001_01,4,7,7,6
DV_001_02,3,8,7,6
DV_001_03,5,8,7,6
DV_001_04,8,7,7,6
DV_002_01,5,7,9,5
DV_002_02,5,7,9,5
DV_002_03,8,8,9,5
DV_002_04,8,8,9,5
DV_003_01,8,6,9,7
DV_003_02,9,7,9,7
DV_003_03,10,8,9,7
DV_003_04,10,9,9,7
DV_004_01,4,6,7,5
DV_004_02,5,7,7,5
DV_004_03,8,6,7,5
DV_004_04,9,5,7,5
DV_005_01,5,5,5,6
DV_005_02,5,5,5,6
DV_005_03,5,4,5,6
DV_005_04,5,4,5,6
DV_006_01,7,7,7,5
DV_006_02,6,7,7,5
DV_006_03,7,7,7,5
DV_006_04,8,7,7,5
DV_007_01,9,8,9,8
DV_007_02,8,8,9,8
DV_007_03,8,8,9,8
DV_007_04,9,8,9,8
DV_008_01,2,7,4,6
DV_008_02,3,7,4,6
DV_008_03,7,7,4,6
DV_008_04,8,7,4,6
DV_009_01,4,6,5,4
DV_009_02,6,6,5,4
DV_009_03,7,6,5,4
DV_009_04,7,6,5,4
DV_010_01,3,6,7,4
DV_010_02,3,7,7,4
DV_010_03,7,5,7,4
DV_010_04,7,5,7,4
DV_011_01,5,7,7,6
DV_011_02,6,8,7,6
DV_011_03,8,8,7,6
DV_011_04,8,8,7,6
DV_012_01,6,8,10,9
DV_012_02,7,9,10,9
DV_012_03,9,10,10,9
DV_012_04,8,9,10,9
DV_013_01,5,7,6,7
DV_013_02,8,8,6,7
DV_013_03,9,8,6,7
DV_013_04,8,8,6,7
DV_014_01,6,5,9,6
DV_014_02,5,5,9,6
DV_014_03,6,6,9,6
DV_014_04,6,5,9,6
DV_015_01,6,6,6,5
DV_015_02,6,5,6,5
DV_015_03,7,6,6,5
DV_015_04,6,6,6,5
DV_016_01,4,8,8,7
DV_016_02,2,9,8,7
DV_016_03,9,9,8,7
DV_016_04,9,9,8,7
DV_017_01,6,8,7,7
DV_017_02,6,8,7,7
DV_017_03,8,7,7,7
DV_017_04,8,7,7,7
DV_018_01,5,5,4,5
DV_018_02,5,6,4,5
DV_018_03,6,5,4,5
DV_018_04,6,6,4,5
DV_019_01,5,7,8,6
DV_019_02,5,6,8,6
DV_019_03,7,7,8,6
DV_019_04,8,7,8,6
DV_020_01,4,5,8,6
DV_020_02,5,7,8,6
DV_020_03,8,8,8,6
DV_020_04,8,8,8,6
DV_021_01,7,7,8,7
DV_021_02,6,7,8,7
DV_021_03,8,8,8,7
DV_021_04,9,8,8,7
DV_022_01,7,5,8,4
DV_022_02,7,5,8,4
DV_022_03,8,5,8,4
DV_022_04,9,6,8,4
DV_023_01,4,6,4,7
DV_023_02,1,9,4,7
DV_023_03,8,7,4,7
DV_023_04,8,9,4,7
DV_024_01,5,7,8,6
DV_024_02,5,6,8,6
DV_024_03,7,7,8,6
DV_024_04,8,7,8,6
DV_025_01,5,6,7,8
DV_025_02,7,6,7,8
DV_025_03,8,7,7,8
DV_025_04,7,5,7,8
DV_026_01,6,7,8,5
DV_026_02,4,8,8,5
DV_026_03,9,4,8,5
DV_026_04,9,5,8,5
DV_027_01,9,6,8,3
DV_027_02,8,6,8,3
DV_027_03,10,6,8,3
DV_027_04,8,6,8,3
DV_028_01,9,8,8,7
DV_028_02,9,7,8,7
DV_028_03,9,7,8,7
DV_028_04,9,8,8,7
DV_029_01,6,6,7,5
DV_029_02,4,5,7,5
DV_029_03,6,5,7,5
DV_029_04,6,6,7,5
DV_030_01,7,7,5,2
DV_030_02,5,7,5,2
DV_030_03,8,7,5,2
DV_030_04,8,8,5,2
DV_031_01,8,6,8,5
DV_031_02,8,6,8,5
DV_031_03,8,7,8,5
DV_031_04,8,7,8,5
DV_032_01,7,9,8,9
DV_032_02,8,10,8,9
DV_032_03,8,9,8,9
DV_032_04,9,9,8,9
DV_033_01,7,6,7,5
DV_033_02,7,5,7,5
DV_033_03,7,5,7,5
DV_033_04,7,6,7,5
